date,host,stadium,match_type,team_1,team_2,team_1_score,team_2_score,winner,margin,margin_type,winning_condition,series,season,season_winner
30-May-19,England,The Oval,1st match,England,South Africa,311 for 8,207,England,104,runs,,ICC Cricket World Cup,2019,England
31-May-19,England,Nottingham,2nd match,Pakistan,West Indies,105,108 for 3,West Indies,7,wickets,with 218 balls remaining,ICC Cricket World Cup,2019,England
01-Jun-19,England,Cardiff,3rd match,Sri Lanka,New Zealand,136,137 for 0,New Zealand,10,wickets,with 203 balls remaining,ICC Cricket World Cup,2019,England
01-Jun-19,England,Bristol,4th match (D/N),Afghanistan,Australia,207,209 for 3,Australia,7,wickets,with 91 balls remaining,ICC Cricket World Cup,2019,England
02-Jun-19,England,The Oval,5th match,Bangladesh,South Africa,330 for 6,309 for 8,Bangladesh,21,runs,,ICC Cricket World Cup,2019,England
03-Jun-19,England,Nottingham,6th match,Pakistan,England,348 for 8,334 for 9,Pakistan,14,runs,,ICC Cricket World Cup,2019,England
04-Jun-19,England,Cardiff,7th match,Sri Lanka,Afghanistan,201,152,Sri Lanka,34,runs,D/L method,ICC Cricket World Cup,2019,England
05-Jun-19,England,Southampton,8th match,South Africa,India,227 for 9,230 for 4,India,6,wickets,with 15 balls remaining,ICC Cricket World Cup,2019,England
05-Jun-19,England,The Oval,9th match (D/N),Bangladesh,New Zealand,244,248 for 8,New Zealand,2,wickets,with 17 balls remaining,ICC Cricket World Cup,2019,England
06-Jun-19,England,Nottingham,10th match,Australia,West Indies,288,273 for 9,Australia,15,runs,,ICC Cricket World Cup,2019,England
07-Jun-19,England,Bristol,11th match,Pakistan,Sri Lanka,,,Match abandoned without a ball bowled,Match abandoned without a ball bowled,Match abandoned without a ball bowled,,ICC Cricket World Cup,2019,England
08-Jun-19,England,Cardiff,12th match,England,Bangladesh,386 for 6,280,England,106,runs,,ICC Cricket World Cup,2019,England
08-Jun-19,England,Taunton,13th match (D/N),Afghanistan,New Zealand,172,173 for 3,New Zealand,7,wickets,with 107 balls remaining,ICC Cricket World Cup,2019,England
09-Jun-19,England,The Oval,14th match,India,Australia,352 for 5,316,India,36,runs,,ICC Cricket World Cup,2019,England
10-Jun-19,England,Southampton,15th match,South Africa,West Indies,29 for 2,,No result,No result,No result,,ICC Cricket World Cup,2019,England
11-Jun-19,England,Bristol,16th match,Bangladesh,Sri Lanka,,,Match abandoned without a ball bowled,Match abandoned without a ball bowled,Match abandoned without a ball bowled,,ICC Cricket World Cup,2019,England
12-Jun-19,England,Taunton,17th match,Australia,Pakistan,307,266,Australia,41,runs,,ICC Cricket World Cup,2019,England
13-Jun-19,England,Nottingham,18th match,India,New Zealand,,,Match abandoned without a ball bowled,Match abandoned without a ball bowled,Match abandoned without a ball bowled,,ICC Cricket World Cup,2019,England
14-Jun-19,England,Southampton,19th match,West Indies,England,212,213 for 2,England,8,wickets,with 101 balls remaining,ICC Cricket World Cup,2019,England
15-Jun-19,England,The Oval,20th match,Australia,Sri Lanka,334 for 7,247,Australia,87,runs,,ICC Cricket World Cup,2019,England
15-Jun-19,England,Cardiff,21st match (D/N),Afghanistan,South Africa,125,131 for 1,South Africa,9,wickets,D/L method,ICC Cricket World Cup,2019,England
16-Jun-19,England,Manchester,22nd match,India,Pakistan,336 for 5,212 for 6,India,89,runs,D/L method,ICC Cricket World Cup,2019,England
17-Jun-19,England,Taunton,23rd match,West Indies,Bangladesh,321 for 8,322 for 3,Bangladesh,7,wickets,with 51 balls remaining,ICC Cricket World Cup,2019,England
18-Jun-19,England,Manchester,24th match,England,Afghanistan,397 for 6,247 for 8,England,150,runs,,ICC Cricket World Cup,2019,England
19-Jun-19,England,Birmingham,25th match,South Africa,New Zealand,241 for 6,245 for 6,New Zealand,4,wickets,with 3 balls remaining,ICC Cricket World Cup,2019,England
20-Jun-19,England,Nottingham,26th match,Australia,Bangladesh,381 for 5,333 for 8,Australia,48,runs,,ICC Cricket World Cup,2019,England
21-Jun-19,England,Leeds,27th match,Sri Lanka,England,232 for 9,212,Sri Lanka,20,runs,,ICC Cricket World Cup,2019,England
22-Jun-19,England,Southampton,28th match,India,Afghanistan,224 for 8,213,India,11,runs,,ICC Cricket World Cup,2019,England
22-Jun-19,England,Manchester,29th match (D/N),New Zealand,West Indies,291 for 8,286,New Zealand,5,runs,,ICC Cricket World Cup,2019,England
23-Jun-19,England,Lord's,30th match,Pakistan,South Africa,308 for 7,259 for 9,Pakistan,49,runs,,ICC Cricket World Cup,2019,England
24-Jun-19,England,Southampton,31st match,Bangladesh,Afghanistan,262 for 7,200,Bangladesh,62,runs,,ICC Cricket World Cup,2019,England
25-Jun-19,England,Lord's,32nd match,Australia,England,285 for 7,221,Australia,64,runs,,ICC Cricket World Cup,2019,England
26-Jun-19,England,Birmingham,33rd match,New Zealand,Pakistan,237 for 6,241 for 4,Pakistan,6,wickets,with 5 balls remaining,ICC Cricket World Cup,2019,England
27-Jun-19,England,Manchester,34th match,India,West Indies,268 for 7,143,India,125,runs,,ICC Cricket World Cup,2019,England
28-Jun-19,England,Chester-le-Street,35th match,Sri Lanka,South Africa,203,206 for 1,South Africa,9,wickets,with 76 balls remaining,ICC Cricket World Cup,2019,England
29-Jun-19,England,Leeds,36th match,Afghanistan,Pakistan,227 for 9,230 for 7,Pakistan,3,wickets,with 2 balls remaining,ICC Cricket World Cup,2019,England
29-Jun-19,England,Lord's,37th match (D/N),Australia,New Zealand,243 for 9,157,Australia,86,runs,,ICC Cricket World Cup,2019,England
30-Jun-19,England,Birmingham,38th match,England,India,337 for 7,306 for 5,England,31,runs,,ICC Cricket World Cup,2019,England
09-Jun-79,England,Birmingham,1st Match,India,West Indies,190,194 for 1,West Indies,9,wickets,with 51 balls remaining,Prudential World Cup,1979,West Indies
09-Jun-79,England,Nottingham,2nd Match,Sri Lanka,New Zealand,189,190 for 1,New Zealand,9,wickets,with 74 balls remaining,Prudential World Cup,1979,West Indies
09-Jun-79,England,Lord's,3rd Match,Australia,England,159 for 9,160 for 4,England,6,wickets,with 77 balls remaining,Prudential World Cup,1979,West Indies
09-Jun-79,England,Leeds,4th Match,Canada,Pakistan,139 for 9,140 for 2,Pakistan,8,wickets,with 119 balls remaining,Prudential World Cup,1979,West Indies
13-Jun-79,England,The Oval,5th Match,Sri Lanka,West Indies,,,Match abandoned without a ball bowled,Match abandoned without a ball bowled,Match abandoned without a ball bowled,,Prudential World Cup,1979,West Indies
13-Jun-79,England,Leeds,6th Match,India,New Zealand,182,183 for 2,New Zealand,8,wickets,with 18 balls remaining,Prudential World Cup,1979,West Indies
01-Jul-19,England,Chester-le-Street,39th match,Sri Lanka,West Indies,338 for 6,315 for 9,Sri Lanka,23,runs,,ICC Cricket World Cup,2019,England
02-Jul-19,England,Birmingham,40th match,India,Bangladesh,314 for 9,286,India,28,runs,,ICC Cricket World Cup,2019,England
03-Jul-19,England,Chester-le-Street,41st match,England,New Zealand,305 for 8,186,England,119,runs,,ICC Cricket World Cup,2019,England
04-Jul-19,England,Leeds,42nd match,West Indies,Afghanistan,311 for 6,288,West Indies,23,runs,,ICC Cricket World Cup,2019,England
05-Jul-19,England,Lord's,43rd match,Pakistan,Bangladesh,315 for 9,221,Pakistan,94,runs,,ICC Cricket World Cup,2019,England
06-Jul-19,England,Leeds,44th match,Sri Lanka,India,264 for 7,265 for 3,India,7,wickets,with 39 balls remaining,ICC Cricket World Cup,2019,England
06-Jul-19,England,Manchester,45th match (D/N),South Africa,Australia,325 for 6,315,South Africa,10,runs,,ICC Cricket World Cup,2019,England
09-Jul-19,England,Manchester,1st Semi-final,New Zealand,India,239 for 8,221,New Zealand,18,runs,,ICC Cricket World Cup,2019,England
11-Jul-19,England,Birmingham,2nd Semi-final,Australia,England,223,226 for 2,England,8,wickets,with 107 balls remaining,ICC Cricket World Cup,2019,England
14-Jul-19,England,Lord's,Final,New Zealand,England,241 for 8,241,Match tied,Match tied,Match tied,,ICC Cricket World Cup,2019,England
13-Jun-79,England,Nottingham,7th Match,Pakistan,Australia,286 for 7,197,Pakistan,89,runs,,Prudential World Cup,1979,West Indies
13-Jun-79,England,Manchester,8th Match,Canada,England,45,46 for 2,England,8,wickets,with 277 balls remaining,Prudential World Cup,1979,West Indies
16-Jun-79,England,Manchester,9th Match,Sri Lanka,India,238 for 5,191,Sri Lanka,47,runs,,Prudential World Cup,1979,West Indies
16-Jun-79,England,Nottingham,10th Match,West Indies,New Zealand,244 for 7,212 for 9,West Indies,32,runs,,Prudential World Cup,1979,West Indies
16-Jun-79,England,Birmingham,11th Match,Canada,Australia,105,106 for 3,Australia,7,wickets,with 204 balls remaining,Prudential World Cup,1979,West Indies
16-Jun-79,England,Leeds,12th Match,England,Pakistan,165 for 9,151,England,14,runs,,Prudential World Cup,1979,West Indies
20-Jun-79,England,Manchester,1st SF,England,New Zealand,221 for 8,212 for 9,England,9,runs,,Prudential World Cup,1979,West Indies
20-Jun-79,England,The Oval,2nd SF,West Indies,Pakistan,293 for 6,250,West Indies,43,runs,,Prudential World Cup,1979,West Indies
23-Jun-79,England,Lord's,Final,West Indies,England,286 for 9,194,West Indies,92,runs,,Prudential World Cup,1979,West Indies
09-Jun-83,England,The Oval,1st Match,England,New Zealand,322 for 6,216,England,106,runs,,Prudential World Cup,1983,India
09-Jun-83,England,Swansea,2nd Match,Pakistan,Sri Lanka,338 for 5,288 for 9,Pakistan,50,runs,,Prudential World Cup,1983,India
